pixel number,intensity
,%
0,5.6
1,5.6
2,5.2
3,5.2
4,5.2
5,5.2
6,5.2
7,5.2
8,5.2
9,5.2
10,5.2
11,5.2
12,5.2
13,5.2
14,5.6
15,5.6
16,5.6
17,5.6
18,5.6
19,5.2
20,5.6
21,5.2
22,5.2
23,5.2
24,5.2
25,5.2
26,5.2
27,5.2
28,5.2
29,5.2
30,5.6
31,5.6
32,5.6
33,5.6
34,5.6
35,5.6
36,5.6
37,5.6
38,5.6
39,5.6
40,5.6
41,5.6
42,5.6
43,5.2
44,5.2
45,5.2
46,5.6
47,5.6
48,5.6
49,5.6
50,5.6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6.4
69,6.4
70,6.4
71,6.4
72,6.4
73,6.4
74,6.4
75,6
76,6
77,6
78,6
79,6.4
80,6.8
81,6.8
82,6.8
83,7.2
84,7.6
85,7.6
86,7.6
87,7.6
88,8
89,8
90,7.6
91,7.2
92,7.2
93,6.8
94,6.8
95,6.8
96,6.8
97,7.2
98,7.6
99,7.6
100,8
101,8.4
102,9.2
103,9.6
104,9.6
105,9.6
106,9.6
107,9.6
108,9.6
109,9.2
110,8.8
111,8.4
112,8
113,7.6
114,7.6
115,8
116,8.4
117,9.2
118,9.6
119,10
120,10.8
121,11.6
122,12.4
123,12.4
124,12.4
125,12.4
126,12.8
127,12.4
128,11.2
129,10.8
130,10
131,9.6
132,9.2
133,8.8
134,8.8
135,9.2
136,10.4
137,11.2
138,12
139,12.8
140,14
141,15.2
142,16
143,16
144,16.4
145,16.4
146,16
147,15.2
148,14.4
149,13.2
150,12
151,10.8
152,10.4
153,10
154,10
155,10.4
156,11.6
157,13.2
158,14.4
159,15.2
160,16.8
161,18.4
162,19.6
163,20
164,20
165,20.4
166,20
167,19.2
168,18
169,16.4
170,14.8
171,13.2
172,12
173,11.2
174,10.8
175,11.2
176,12
177,13.6
178,14.8
179,15.6
180,16.8
181,18.4
182,20.4
183,21.6
184,22.4
185,22.8
186,23.6
187,23.6
188,22.4
189,20.8
190,19.2
191,17.2
192,14.4
193,13.2
194,12.8
195,12
196,12.4
197,13.6
198,15.6
199,17.2
200,18.4
201,19.6
202,21.6
203,24
204,25.2
205,25.6
206,26
207,26.4
208,26.8
209,26
210,24.4
211,22
212,20
213,18
214,16
215,14.4
216,13.6
217,13.2
218,13.6
219,15.2
220,17.2
221,18.8
222,20
223,21.2
224,23.6
225,26.4
226,28
227,28.4
228,28.4
229,28.8
230,29.6
231,28.8
232,27.2
233,24.8
234,22.4
235,20.4
236,18.4
237,16.4
238,15.2
239,14.4
240,14.4
241,15.2
242,17.2
243,19.6
244,21.6
245,22.4
246,23.2
247,25.6
248,28.8
249,30.8
250,30.8
251,30
252,30
253,30.8
254,31.2
255,29.6
256,26
257,23.6
258,21.6
259,19.6
260,18
261,16.4
262,15.6
263,15.2
264,15.6
265,16.8
266,19.6
267,22
268,23.6
269,24.4
270,25.6
271,28
272,31.6
273,33.2
274,33.2
275,32.4
276,32
277,32.4
278,32.8
279,31.2
280,28.8
281,26
282,23.2
283,21.2
284,19.2
285,18
286,16.8
287,16
288,16
289,16.8
