pixel number,intensity
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6.4
55,6.4
56,6.4
57,6.4
58,6.4
59,6.4
60,6.4
61,6.4
62,6.4
63,6.4
64,6.8
65,6.8
66,6.8
67,6.8
68,6.8
69,6.8
70,6.8
71,6.8
72,6.8
73,6.8
74,6.8
75,6.8
76,7.2
77,7.2
78,7.2
79,7.2
80,7.2
81,7.2
82,7.6
83,8
84,8.4
85,8.4
86,8.4
87,8.4
88,8.8
89,8.8
90,8.8
91,8.8
92,8.4
93,8
94,8
95,8.4
96,8.8
97,9.2
98,9.2
99,9.2
100,9.6
101,10
102,10.8
103,10.8
104,10.8
105,10.4
106,10.4
107,10.8
108,11.2
109,10.8
110,10.4
111,10
112,9.6
113,9.6
114,10
115,10.8
116,11.2
117,11.2
118,11.2
119,11.2
120,12.4
121,13.6
122,14
123,14
124,13.6
125,13.2
126,13.6
127,14
128,14.4
129,13.6
130,12.8
131,12
132,11.6
133,12
134,12.8
135,13.6
136,14
137,14
138,14
139,14.8
140,16.4
141,18
142,18.4
143,18
144,17.6
145,16.8
146,17.2
147,17.6
148,17.6
149,16.8
150,15.6
151,14.4
152,13.6
153,14
154,14.8
155,15.6
156,16.4
157,17.2
158,17.2
159,17.6
160,19.6
161,21.6
162,22.4
163,22.4
164,21.6
165,20.8
166,21.2
167,21.6
168,21.6
169,20.8
170,19.2
171,17.6
172,16.4
173,16
174,16.8
175,18
176,18.8
177,19.2
178,19.2
179,18.8
180,19.6
181,22
182,24
183,24.8
184,25.2
185,24.8
186,24.4
187,24.8
188,25.2
189,24.8
190,23.6
191,22
192,19.6
193,18.4
194,18
195,18.8
196,20.4
197,21.6
198,22
199,22
200,22
201,22.8
202,25.2
203,27.6
204,28.8
205,28.8
206,28
207,27.2
208,26.8
209,27.6
210,27.6
211,26.4
212,24.8
213,23.2
214,21.6
215,20.4
216,20
217,20.8
218,22.4
219,24
220,24
221,24
222,24
223,24.8
224,27.6
225,30.4
226,31.6
227,31.6
228,30.8
229,30
230,29.6
231,30
232,30.8
233,30
234,28
235,26
236,24.4
237,22.8
238,22
239,22.4
240,24
241,26
242,26.8
243,26.8
244,26.4
245,26
246,27.2
247,30.4
248,33.6
249,34.8
250,34
251,32.4
252,31.2
253,30.8
254,31.6
255,32.8
256,33.6
257,31.2
258,28.8
259,26.4
260,24.8
261,23.6
262,23.6
263,24.8
264,27.2
265,28.8
266,29.2
267,28.4
268,27.6
269,27.6
270,30
271,34
272,38
273,38.8
274,37.2
275,35.2
276,33.6
277,33.2
278,34
279,35.6
280,35.6
281,33.6
282,30.8
283,28.4
284,26.4
285,25.2
286,24.8
287,25.6
288,28
289,30.4
290,31.6
291,31.2
292,30
293,29.2
294,30
295,32.8
296,37.6
297,41.2
298,42
299,40
300,37.2
301,34.8
302,34
303,35.2
304,36.8
305,37.6
306,36
307,33.2
308,30.4
309,28
310,26.4
311,26
312,26.4
313,28.4
314,31.2
315,33.2
316,33.6
317,32.8
318,31.2
319,30.4
320,31.6
321,34.8
322,40
323,44
324,44.4
325,42
326,38.8
327,36.4
328,35.2
329,35.6
330,37.2
331,38.4
332,37.6
333,35.2
334,32.4
335,29.6
336,27.6
337,26.4
338,26
339,27.2
340,30
341,33.2
342,35.2
343,35.2
344,34
345,32.8
346,32
347,32.8
348,36
349,40.8
350,45.2
351,46.8
352,45.6
353,42.4
354,39.2
355,36.8
356,36.4
357,37.2
358,39.2
359,40.4
360,39.6
361,36.8
362,33.6
363,30.8
364,28.4
365,27.2
366,26.8
367,27.6
368,30
369,33.2
370,36
371,36.8
372,36.4
373,34.8
374,33.6
375,33.2
376,34.8
377,38
378,43.2
379,47.6
380,49.2
381,47.6
382,44
383,40.4
384,36.4
385,36
386,36.8
387,38.4
388,40.4
389,40.8
390,39.2
391,36.4
392,33.2
393,30.4
394,28.4
395,27.2
396,27.2
397,28
398,30
399,33.2
400,36
401,37.6
402,38
403,36.8
404,35.2
405,34
406,34.4
407,36.8
408,40.8
409,45.6
410,49.6
411,50.8
412,48.8
413,45.2
414,41.6
415,38.8
416,37.6
417,37.6
418,38.8
419,40.8
420,42
421,41.6
422,39.2
423,36
424,32.8
425,30.4
426,28.8
427,27.6
428,27.2
429,28
430,30
431,33.2
432,36.4
433,38.8
434,39.6
435,38.8
436,37.2
437,35.6
438,34.8
439,35.6
440,38
441,42
442,46.8
443,50.8
444,52.4
445,51.6
446,48.4
447,44.4
448,38.8
449,37.2
450,36.8
451,37.6
452,39.2
453,41.2
454,42.8
455,42.8
456,41.2
457,38.4
458,35.2
459,32
460,29.6
461,28
462,27.2
463,27.2
464,28
465,30
466,33.2
467,36.8
468,39.6
469,40.8
470,40.8
471,38.8
472,36.8
473,34.8
474,33.6
475,33.6
476,35.6
477,38.8
478,42.4
479,45.6
480,47.6
481,47.2
482,45.2
483,42.4
484,39.6
485,38
486,37.2
487,37.2
488,38
489,39.6
490,41.6
491,43.6
492,44.4
493,43.6
494,41.2
495,38
496,34.8
497,32
498,30
499,28.4
500,27.2
