p,I
0,6
1,5.6
2,5.6
3,5.6
4,5.6
5,5.6
6,5.6
7,5.6
8,5.6
9,5.6
10,5.6
11,5.6
12,5.6
13,5.6
14,5.2
15,5.2
16,5.2
17,5.2
18,5.2
19,5.2
20,5.2
21,5.6
22,5.6
23,5.6
24,5.6
25,5.6
26,5.6
27,5.6
28,5.6
29,5.2
30,5.6
31,5.2
32,5.6
33,5.6
34,5.6
35,5.6
36,5.6
37,5.6
38,5.6
39,5.6
40,5.6
41,5.2
42,5.6
43,5.6
44,5.6
45,5.6
46,5.6
47,5.2
48,5.6
49,5.6
50,5.2
51,5.2
52,5.6
53,5.6
54,5.6
55,5.2
56,5.6
57,5.6
58,5.6
59,5.6
60,5.6
61,5.6
62,5.6
63,5.6
64,5.6
65,5.2
66,5.2
67,5.2
68,5.2
69,5.2
70,5.2
71,5.2
72,5.6
73,5.2
74,5.6
75,5.2
76,5.6
77,5.2
78,5.6
79,5.2
80,5.6
81,5.2
82,5.2
83,5.2
84,5.6
85,5.6
86,5.2
87,5.2
88,5.6
89,5.6
90,5.6
91,5.6
92,5.2
93,5.2
94,5.2
95,5.2
96,5.6
97,5.6
98,5.2
99,5.2
100,5.2
101,5.2
102,5.6
103,5.6
104,5.2
105,5.2
106,5.2
107,5.2
108,5.6
109,5.6
110,5.6
111,5.6
112,5.6
113,5.2
114,5.6
115,5.6
116,5.6
117,5.2
118,5.6
119,5.2
120,5.2
121,5.2
122,5.2
123,5.2
124,5.6
125,5.6
126,5.2
127,5.2
128,5.2
129,5.2
130,5.2
131,5.2
132,5.2
133,5.2
134,5.2
135,5.2
136,5.2
137,5.2
138,5.6
139,5.2
140,5.2
141,5.2
142,5.2
143,5.2
144,5.2
145,5.2
146,5.2
147,5.2
148,5.2
149,5.2
150,5.2
151,5.2
152,5.6
153,5.6
154,5.2
155,5.2
156,5.2
157,5.2
158,5.2
159,5.2
160,5.2
161,5.2
162,5.2
163,5.2
164,5.2
165,5.2
166,5.2
167,5.2
168,5.2
169,5.2
170,5.2
171,5.2
172,5.2
173,5.2
174,5.2
175,5.2
176,5.2
177,5.2
178,5.2
179,5.2
180,5.2
181,5.2
182,5.2
183,5.2
184,5.2
185,5.2
186,5.2
187,5.2
188,5.2
189,5.2
190,5.2
191,5.2
192,5.2
193,5.2
194,5.2
195,5.2
196,5.2
197,5.2
198,5.2
199,5.2
200,5.2
201,5.2
202,5.2
203,5.2
204,5.2
205,5.2
206,5.2
207,5.2
208,5.2
209,5.2
210,5.2
211,5.2
212,5.2
213,5.2
214,5.2
215,5.2
216,5.2
217,5.2
218,5.6
219,5.6
220,5.2
221,5.2
222,5.2
223,5.2
224,5.2
225,5.2
226,5.2
227,5.2
228,5.2
229,5.2
230,5.2
231,5.2
232,5.2
233,5.2
234,5.2
235,5.2
236,5.6
237,5.6
238,5.6
239,5.6
240,5.6
241,5.2
242,5.2
243,5.2
244,5.2
245,5.2
246,5.2
247,5.2
248,5.2
249,5.2
250,5.2
251,5.2
252,5.2
253,5.2
254,5.6
255,6
256,6.4
257,6.4
258,6
259,5.6
260,5.2
261,5.2
262,5.2
263,5.2
264,5.2
265,5.2
266,5.2
267,5.2
268,5.2
269,5.2
270,5.2
271,5.2
272,5.2
273,5.2
274,5.6
275,6
276,6.8
277,6.8
278,6.4
279,5.6
280,5.6
281,5.2
282,5.2
283,5.2
284,5.2
285,5.2
286,5.2
287,5.2
288,5.2
289,5.2
290,5.2
291,5.2
292,5.6
293,5.6
294,5.6
295,6
296,6.8
297,7.2
298,6.8
299,6.4
300,6
301,6
302,5.6
303,5.2
304,5.2
305,5.2
306,5.2
307,5.2
308,5.2
309,5.2
310,5.2
311,5.2
312,5.2
313,5.2
314,5.6
315,5.6
316,6
317,7.2
318,8.4
319,8.4
320,7.6
321,6.8
322,6.4
323,6
324,5.6
325,5.2
326,5.2
327,5.2
328,5.2
329,5.2
330,5.2
331,5.2
332,5.6
333,5.2
334,5.6
335,5.6
336,6
337,6
338,6.8
339,8
340,9.6
341,9.6
342,8.4
343,7.2
344,6.4
345,6
346,6
347,5.6
348,5.2
349,5.2
350,5.2
351,5.2
352,5.2
353,5.2
354,5.2
355,5.2
356,5.6
357,5.6
358,5.6
359,6
360,6.4
361,7.2
362,9.2
363,11.2
364,10.8
365,9.2
366,7.6
367,6.8
368,6.4
369,6
370,5.6
371,5.2
372,5.2
373,5.2
374,5.2
375,5.2
376,5.2
377,5.2
378,5.2
379,5.2
380,5.6
381,5.6
382,6
383,6.4
384,7.2
385,8.4
386,10.8
387,12.8
388,12
389,9.6
390,8
391,7.2
392,6.4
393,6
394,5.6
395,5.2
396,5.2
397,5.2
398,5.2
399,5.2
400,5.2
401,5.2
402,5.6
403,5.6
404,5.6
405,5.6
406,6
407,6
408,6.8
409,8
410,10
411,12.8
412,14.4
413,12.8
414,10.4
415,8.4
416,7.2
417,6.4
418,6.4
419,5.6
420,5.6
421,5.2
422,5.2
423,5.2
424,5.2
425,5.2
426,5.6
427,5.2
428,5.6
429,5.6
430,6
431,6
432,6.4
433,6.8
434,7.2
435,8.8
436,11.2
437,14.4
438,16
439,14.4
440,11.6
441,9.2
442,7.6
443,6.8
444,6.4
445,5.6
446,5.6
447,5.6
448,5.6
449,5.6
450,5.2
451,5.2
452,5.2
453,5.2
454,5.2
455,5.6
456,5.6
457,5.6
458,6
459,6
460,6.4
461,7.2
462,8.8
463,11.2
464,14.4
465,17.2
466,16.8
467,14
468,11.2
469,9.2
470,7.6
471,6.8
472,6.4
473,6
474,5.6
475,5.2
476,5.2
477,5.2
478,5.2
479,5.2
480,5.2
481,5.2
482,5.2
483,5.2
484,5.6
485,6
486,6
487,6.4
488,6.8
489,7.2
490,8.4
491,10.4
492,12.8
493,16.4
494,18.8
495,18.4
496,15.6
497,12.4
498,10
499,8.4
500,7.2
501,6.4
502,6.4
503,6
504,6
505,6
506,6
507,6
508,6
509,6
510,6
511,6
512,6.4
513,6.4
514,6.4
515,6.4
516,6.4
517,6.4
518,6.8
519,7.2
520,8
521,9.6
522,11.6
523,14.8
524,18.4
525,20.8
526,20.4
527,17.2
528,13.6
529,10.8
530,8.8
531,7.6
532,6.8
533,6.4
534,6.4
535,6
536,6
537,6
538,6
539,6
540,6
541,6
542,6
543,6
544,6.4
545,6.4
546,6.4
547,6.4
548,6.8
549,6.8
550,7.2
551,7.6
552,8.4
553,9.2
554,10.4
555,12.4
556,15.2
557,18.8
558,22
559,23.2
560,21.2
561,17.2
562,13.6
563,10.8
564,9.2
565,8
566,7.2
567,6.8
568,6.8
569,6.8
570,6.4
571,6.4
572,6.4
573,6.4
574,6.4
575,6.8
576,6.8
577,6.8
578,6.8
579,6.8
580,6.8
581,6.8
582,6.8
583,6.8
584,7.2
585,7.2
586,7.6
587,8
588,8.8
589,9.6
590,10.8
591,12.8
592,15.6
593,19.2
594,23.2
595,25.6
596,24.8
597,21.2
598,17.6
599,14
600,12
601,10
602,8.8
603,8
604,8
605,7.6
606,7.6
607,7.6
608,7.6
609,7.2
610,7.2
611,6.8
612,6.8
613,6.8
614,6.8
615,6.8
616,6.8
617,6.8
618,6.8
619,6.8
620,6.8
621,6.8
622,7.2
623,7.2
624,7.6
625,8
626,8.4
627,8.8
628,9.6
629,10.4
630,12
631,13.6
632,16.4
633,20
634,24
635,27.6
636,29.2
637,27.6
638,24
639,20
640,14.4
641,12.8
642,11.2
643,10
644,9.2
645,8.8
646,8.4
647,8
648,7.6
649,7.6
650,7.6
651,7.6
